SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-UW-2021040305263/2021,MZ236848.1
USA/WA-S16893/2022,OM457831.1
USA/WA-CDC-UW21100329401/2021,OK616140.1
USA/WA-CDC-UW22010631298/2022,OM404202.1
USA/WA-UW-21041669482/2021,MZ172069.1
USA/WA-CDC-UW23102725210/2023,OR815613.1
USA/WA-CDC-QDX30041491/2021,OK667666.1
USA/WA-CDC-LC0437450/2021,OM076231.1
USA/WA-S15846/2021,OM296711.1
USA/WA-UW-22101793996/2022,OP823902.1
USA/WA-S17782/2022,OM571565.1
USA/WA-UW-21052873870/2021,MZ433649.1
USA/WA-PHL-011818/2022,PQ175216.1
USA/WA-PHL-003197/2021,PQ170636.1
USA/WA-CDC-UW21050499978/2021,MZ257621.1
USA/WA-UW-23033010307/2023,OQ851704.1
USA/WA-CDC-UW21101579730/2021,OK640753.1
USA/WA-S16928/2022,OM457866.1
USA/WA-PHL-018545/2022,OQ755273.1
USA/WA-CDC-UW23022881906/2023,OQ619200.1
USA/WA-UW-21092542009/2021,OK556912.1
USA/WA-CDC-UW23103119788/2023,OR815631.1
USA/WA-UW-22122859213/2022,OQ201876.1
USA/WA-PHL-031400/2022,PP788435.1
USA/WA-CDC-LC1043918/2023,OR131339.1
USA/WA-PHL-003216/2021,PP628619.1
USA/WA-CDC-UW21090702843/2021,OK301516.1
USA/WA-UW-22101975487/2022,OP824003.1
USA/WA-CDC-UW23020242005/2023,OQ443295.1
USA/WA-CDC-QDX36219546/2022,ON489488.1
USA/WA-CDC-UW22082726132/2022,OP466748.1
USA/WA-UW-21053054118/2021,MZ433699.1
USA/WA-PHL-020785/2022,OQ990589.1
USA/WA-S12489/2021,OK546533.1
USA/WA-CDC-UW21122767490/2021,OM188687.1
USA/WA-S21095/2022,ON981554.1
USA/WA-UW-68529/2021,MZ232316.1
USA/WA-UW-22072542713/2022,OP242727.1
USA/WA-CDC-LC0821290/2022,OP239707.1
USA/WA-CDC-LC0213953/2021,OK116902.1
USA/WA-CDC-LC0580627/2022,ON348873.1
USA/WA-PHL-002955/2021,PQ170576.1
USA/WA-CDC-LC0101915/2021,MZ783818.1
USA/WA-UW-22122803820/2022,OQ201845.1
USA/WA-PHL-018558/2022,OQ755280.1
USA/WA-CDC-UW21071680105/2021,MZ729298.1
USA/WA-UW-23021396466/2023,OQ503912.1
USA/WA-CDC-UW21081500572/2021,OK068340.1
USA/WA-UW-22042017842/2022,ON412668.1
USA/WA-CDC-LC0909854/2022,OP672029.1
USA/WA-PHL-000938/2021,PP700770.1
USA/WA-CDC-LC0602932/2022,ON466218.1
USA/WA-PHL-029766/2022,PP787664.1
USA/WA-CDC-UW21042761496/2021,MZ199089.1
USA/WA-S15307/2021,OL904103.1
USA/WA-CDC-UW22090675317/2022,OP493459.1
USA/WA-PHL-026504/2022,PP787464.1
USA/WA-PHL-025424/2022,PP786989.1
USA/WA-CDC-UW23012475402/2023,OQ403108.1
USA/WA-PHL-012649/2022,PQ175649.1
USA/WA-CDC-LC0778954/2022,OP064834.1
USA/WA-UW-2021033108858/2021,MZ236542.1
USA/WA-S7448/2021,MZ222694.1
USA/WA-CDC-LC0101929/2021,MZ783779.1
USA/WA-PHL-018223/2022,OQ920511.1
USA/WA-UW-21041915858/2021,MZ172120.1
USA/WA-CDC-QDX29520000/2021,OK577295.1
USA/WA-PHL-016499/2022,PQ400524.1
USA/WA-PHL-002760/2021,PQ170383.1
USA/WA-PHL-001752/2021,PP627902.1
USA/WA-PHL-013195/2022,PQ175902.1
USA/WA-UW-21080233610/2021,MZ970931.1
USA/WA-CDC-UW21122810144/2021,OM232687.1
USA/WA-S8276/2021,MZ452006.1
USA/WA-UW-22050746127/2022,ON631436.1
USA/WA-PHL-002465/2021,PP628257.1
USA/WA-CDC-UW21080135142/2021,MZ967505.1
USA/WA-PHL-001391/2021,PP627743.1
USA/WA-PHL-016942/2022,OQ916615.1
USA/WA-S21218/2022,ON981654.1
USA/WA-UW-21082021656/2021,OK261837.1
USA/WA-UW-21071128327/2021,MZ664491.1
USA/WA-UW-21041629837/2021,MZ232861.1
USA/WA-CDC-UW21051718815/2021,MZ477080.1
USA/WA-CDC-QDX27713172/2021,MZ945217.1
USA/WA-PHL-033948/2021,PQ414707.1
USA/WA-PHL-024038/2022,PQ370765.1
USA/WA-PHL-022108/2022,PP478227.1
USA/WA-UW-2021040773681/2021,MZ231675.1
USA/WA-UW-22032918017/2022,ON249316.1
USA/WA-CDC-ASC210648664/2022,OM683760.1
USA/WA-CDC-UW21082729429/2021,OK110783.1
USA/WA-CDC-UW21120725044/2021,OM056059.1
USA/WA-PHL-011124/2022,PQ174904.1
USA/WA-CDC-UW22092709909/2022,OP646765.1
USA/WA-S25121/2024,PP702490.1
USA/WA-PHL-008236/2021,PP630680.1
USA/WA-UW-23010269447/2023,OQ306144.1
USA/WA-CDC-UW22051693527/2022,ON688896.1
USA/WA-UW-21080757703/2021,OK229906.1
USA/WA-CDC-UW21121055733/2021,OM056099.1
USA/WA-UW-21072778510/2021,OK332039.1
USA/WA-CDC-UW22070594060/2022,ON999414.1
USA/WA-CDC-2-3851541/2021,MW708374.1
USA/WA-PHL-012562/2022,PQ175573.1
USA/WA-S19009/2022,ON052947.1
USA/WA-S5555/2021,MW873366.1
USA/WA-CDC-ASC210178936/2021,OK407329.1
USA/WA-S16927/2022,OM457865.1
USA/WA-CDC-LC0602705/2022,ON467360.1
USA/WA-CDC-LC0299232/2021,OK450460.1
USA/WA-CDC-VSX-A250709/2024,PP267755.1
USA/WA-S12362/2021,OK546413.1
USA/WA-S18247/2021,OM801739.1
USA/WA-S14855/2021,OL740692.1
USA/WA-PHL-021319/2022,PQ389703.1
USA/WA-UW-22010480122/2022,OM510015.1
USA/WA-PHL-029130/2022,PQ387317.1
USA/WA-CDC-UW21102090367/2021,OL360542.1
USA/WA-S9756/2021,MZ616392.1
USA/WA-S19529/2022,ON374931.1
USA/WA-UW-22041903188/2022,ON548681.1
USA/WA-CDC-UW21121470321/2021,OM056225.1
USA/WA-CDC-LC0634838/2022,ON588885.1
USA/WA-CDC-LC0484093/2022,OM409778.1
USA/WA-PHL-024246/2022,PQ370950.1
USA/WA-S17661/2022,OM571446.1
USA/WA-CDC-LC0312764/2021,OK521262.1
USA/WA-CDC-LC0805024/2022,OP166396.1
USA/WA-S19215/2022,ON207237.1
USA/WA-PHL-027324/2022,OQ782120.1
USA/WA-CDC-UW21100279123/2021,OK534322.1
USA/WA-CDC-UW21100274176/2021,OK534403.1
USA/WA-CDC-UW21071529682/2021,MZ729375.1
USA/WA-CDC-UW22010593141/2022,OM404162.1
USA/WA-UW-2021041034902/2021,MZ233185.1
USA/WA-PHL-024085/2022,PQ370810.1
USA/WA-UW-22121493932/2022,OQ290613.1
USA/WA-PHL-018006/2022,OQ920349.1
USA/WA-CDC-UW21122428881/2021,OM188517.1
USA/WA-CDC-LC0707054/2022,ON837537.1
USA/WA-S16898/2022,OM457836.1
USA/WA-CDC-UW21122039065/2021,OM132085.1
USA/WA-PHL-016895/2022,OQ916570.1
USA/WA-UW-23012612023/2023,OQ389938.1
USA/WA-CDC-UW22012518033/2022,OM570739.1
USA/WA-PHL-026264/2022,PQ371621.1
USA/WA-UW-21050613232/2021,MZ328748.1
USA/WA-CDC-ASC210757259/2022,OM999938.1
USA/WA-S2322/2020,MT831642.1
USA/WA-UW-21072993082/2021,OK229993.1
USA/WA-CDC-LC0210918/2021,OK114388.1
USA/WA-CDC-UW23121230223/2023,PP053471.1
USA/WA-S17246/2022,OM538467.1
USA/WA-CDC-LC0281768/2021,OK363697.1
USA/WA-UW-67456/2021,MW876881.1
USA/WA-UW-69230/2021,MZ232411.1
USA/WA-CDC-UW21092121943/2021,OK379968.1
USA/WA-CDC-LC0342273/2021,OL330095.1
USA/WA-S11583/2021,OK335339.1
USA/WA-S5780/2021,MW945268.1
USA/WA-PHL-001831/2021,PP627976.1
USA/WA-S12464/2021,OK546508.1
USA/WA-PHL-022378/2022,PP478059.1
USA/WA-PHL-001614/2021,PP627768.1
USA/WA-CDC-UW21061417680/2021,OK189265.1
USA/WA-CDC-LC0059445/2021,MZ254384.1
USA/WA-PHL-034424/2022,PQ414826.1
USA/WA-CDC-UW21091175749/2021,OK399927.1
USA/WA-S6044/2021,MZ029443.1
USA/WA-S6101/2021,MZ033280.1
USA/WA-PHL-029977/2020,PQ414164.1
USA/WA-CDC-LC1017715/2023,OQ631174.1
USA/WA-CDC-LC0660262/2022,ON658867.1
USA/WA-PHL-032948/2023,PQ372692.1
USA/WA-S4059/2021,MW555884.2
USA/WA-UW-21090341010/2021,OK332821.1
USA/WA-UW-22051160614/2022,ON626988.1
USA/WA-CDC-UW22101021359/2022,OP738354.1
USA/WA-CDC-UW23021669039/2023,OQ589233.1
USA/WA-CDC-LC0608636/2022,ON499933.1
USA/WA-CDC-LC0337480/2021,OL327516.1
USA/WA-UW-21073182227/2021,OK144506.1
USA/WA-PHL-011781/2022,PQ175182.1
USA/WA-CDC-UW21072417617/2021,OK111509.1
USA/WA-UW-22111581185/2022,OP967643.1
USA/WA-CDC-LC0617086/2022,ON536448.1
USA/WA-CDC-UW21082725965/2021,OK110881.1
USA/WA-PHL-030584/2022,PP787902.1
USA/WA-PHL-025766/2022,PP787306.1
USA/WA-CDC-UW22051989371/2022,ON691742.1
USA/WA-CDC-FG-096440/2021,OK142115.1
USA/WA-CDC-UW21111340375/2021,OL640103.1
USA/WA-PHL-014328/2022,PQ176622.1
USA/WA-UW-22062217357/2022,ON986997.1
USA/WA-CDC-LC0422462/2021,OL992895.1
USA/WA-CDC-LC0602685/2022,ON467277.1
USA/WA-PHL-006731/2021,PQ172598.1
USA/WA-UW-21072430628/2021,MZ815038.1
USA/WA-PHL-003654/2021,PQ170963.1
USA/WA-PHL-027477/2022,OQ782166.1
USA/WA-S13136/2021,OL333747.1
USA/WA-CDC-UW21121470494/2021,OM056287.1
USA/WA-PHL-018986/2022,OQ785524.1
USA/WA-CDC-UW21101136438/2021,OK640550.1
USA/WA-CDC-QDX33592104/2022,OM773883.1
USA/WA-UW-21041697753/2021,MZ232937.1
USA/WA-S3878/2021,MW549577.2
USA/WA-S18622/2022,OM886682.1
USA/WA-PHL-000342/2021,PP697124.1
USA/WA-PHL-012194/2022,PP468058.1
USA/WA-UW-22011003432/2022,OM569786.1
USA/WA-CDC-UW21050459761/2021,MZ257712.1
USA/WA-S10135/2021,MZ769970.1
USA/WA-PHL-007253/2021,PQ172764.1
USA/WA-CDC-UW21082528357/2021,OK111021.1
USA/WA-CDC-UW23122801522/2023,PP106547.1
USA/WA-S14588/2021,OL740401.1
USA/WA-CDC-UW22100454557/2022,OP651409.1
USA/WA-UW-22060609735/2022,ON796342.1
USA/WA-UW-22050932359/2022,ON626984.1
USA/WA-PHL-014385/2022,PQ176675.1
USA/WA-UW-22080806746/2022,OP457306.1
USA/WA-CDC-UW22090697316/2022,OP493436.1
USA/WA-CDC-UW22031058480/2022,ON090477.1
USA/WA-UW-22101027405/2022,OP729465.1
USA/WA-UW-2021040205748/2021,MZ238950.1
USA/WA-CDC-UW23091636926/2023,OR610821.1
USA/WA-CDC-QDX37843180/2022,ON845826.1
USA/WA-CDC-UW22033039172/2022,ON376368.1
USA/WA-CDC-LC0938819/2022,OP926494.1
USA/WA-S2118/2020,MT831208.1
USA/WA-CDC-LC0182110/2021,MZ992636.1
USA/WA-UW-2021041373178/2021,MZ233235.1
USA/WA-UW-22081412941/2022,OP457336.1
USA/WA-UW-22111065589/2022,OP967623.1
USA/WA-PHL-022890/2022,OQ771813.1
USA/WA-CDC-UW21090258679/2021,OK264984.1
USA/WA-PHL-029020/2022,PQ387214.1
USA/WA-PHL-003322/2021,PQ170654.1
USA/WA-CDC-UW22100446644/2022,OP778540.1
USA/WA-CDC-LC0640431/2022,ON608165.1
USA/WA-CDC-LC0451144/2021,OM226581.1
USA/WA-CDC-UW22061932919/2022,ON955999.1
USA/WA-PHL-011486/2022,PP631690.1
USA/WA-CDC-LC0582178/2022,ON372990.1
USA/WA-UW-67274/2021,MZ360792.1
USA/WA-PHL-019952/2022,OQ986450.1
USA/WA-UW-21072385353/2021,MZ815354.1
USA/WA-S10047/2021,MZ768477.1
USA/WA-PHL-024594/2022,OP596945.1
USA/WA-CDC-UW22062853652/2022,ON999234.1
USA/WA-PHL-001610/2021,PP627764.1
USA/WA-CDC-UW21110859637/2021,OL597434.1
USA/WA-UW-22041488796/2022,ON412284.1
USA/WA-CDC-QDX38832544/2022,OP116200.1
USA/WA-UW-23020410732/2023,OQ429374.1
USA/WA-S14470/2021,OL676602.1
USA/WA-PHL-030556/2022,PP787882.1
USA/WA-PHL-029366/2020,PQ413924.1
USA/WA-CDC-LC0312667/2021,OK521654.1
USA/WA-PHL-028245/2020,PQ413119.1
USA/WA-PHL-020467/2022,OQ989955.1
USA/WA-CDC-UW23010680538/2023,OQ271672.1
USA/WA-CDC-LC0059519/2021,MZ306359.1
USA/WA-S17702/2022,OM571485.1
USA/WA-PHL-015594/2022,OQ873918.1
USA/WA-CDC-UW23011076104/2023,OQ306769.1
USA/WA-CDC-LC0686767/2022,ON770270.1
USA/WA-CDC-UW22070523835/2022,ON999468.1
USA/WA-S16578/2022,OM437156.1
USA/WA-PHL-004886/2021,PP629395.1
USA/WA-UW-21042880896/2021,MZ433973.1
USA/WA-CDC-LC0786694/2022,OP109903.1
USA/WA-CDC-UW22070542422/2022,OP036269.1
USA/WA-CDC-UW21083072577/2021,OK158947.1
USA/WA-CDC-UW22022599572/2022,ON018388.1
USA/WA-PHL-026412/2022,OQ779454.1
USA/WA-CDC-UW21121385914/2021,OM056178.1
USA/WA-UW-21090741371/2021,OK334152.1
USA/WA-UW-2021040700663/2021,MZ240089.1
USA/WA-PHL-029709/2022,PP787612.1
USA/WA-CDC-UW22092727750/2022,OP646740.1
USA/WA-CDC-UW21091022297/2021,OK399820.1
USA/WA-CDC-UW22060835798/2022,ON827280.1
USA/WA-UW-21042291025/2021,MZ171981.1
USA/WA-PHL-019373/2022,OQ785591.1
USA/WA-UW-21071209462/2021,MZ711524.1
USA/WA-CDC-LC0687167/2022,ON769662.1
USA/WA-CDC-FG-154070/2021,OL339645.1
USA/WA-CDC-QDX30656127/2021,OL622314.1
USA/WA-PHL-008621/2021,PQ173541.1
USA/WA-CDC-LC0203363/2021,OK101396.1
USA/WA-CDC-UW21120185094/2021,OL825306.1
USA/WA-UW-23041825424/2023,OQ940215.1
USA/WA-UW-22082267027/2022,OP443781.1
USA/WA-S14794/2021,OL740606.1
USA/WA-UW-22101934022/2022,OP824055.1
USA/WA-PHL-000890/2021,PP700726.1
USA/WA-UW-23012885773/2023,OQ437520.1
USA/WA-CDC-UW21072000998/2021,OK111685.1
USA/WA-S3527/2020,MW548905.2
USA/WA-UW-21092509930/2021,OK556951.1
USA/WA-PHL-032109/2023,PQ372126.1
USA/WA-CDC-LC1010275/2023,OQ510460.1
USA/WA-CDC-UW21120684066/2021,OM056028.1
USA/WA-CDC-UW22061589673/2022,ON894291.1
USA/WA-PHL-006308/2021,PQ172387.1
USA/WA-CDC-LC0499279/2022,OM497571.1
USA/WA-CDC-LC0634593/2022,ON589431.1
USA/WA-PHL-001424/2021,PQ169764.1
USA/WA-CDC-LC0253142/2021,OK203373.1
USA/WA-UW-22102549484/2022,OP824248.1
USA/WA-PHL-025171/2022,OP597044.1
USA/WA-CDC-UW22051256497/2022,ON689094.1
USA/WA-S2542/2020,MT831678.1
USA/WA-S21053/2022,ON981521.1
USA/WA-CDC-UW22092117481/2022,OP630308.1
USA/WA-CDC-UW21090876158/2021,OK301769.1
USA/WA-CDC-LC0067293/2021,MZ372453.1
USA/WA-UW-65884/2021,MZ151682.1
USA/WA-CDC-LC0658371/2022,ON656573.1
USA/WA-CDC-UW22021507128/2022,OM901026.1
USA/WA-S872/2020,MT642163.1
USA/WA-S3644/2021,MW542163.2
USA/WA-UW-22091994104/2022,OP678476.1
USA/WA-UW-23020256489/2023,OQ443017.1
USA/WA-CDC-UW22060863513/2022,ON827252.1
USA/WA-CDC-LC0934995/2022,OP882766.1
USA/WA-CDC-QDX31446681/2021,OL789703.1
USA/WA-CDC-UW22081788282/2022,OP376241.1
USA/WA-PHL-008377/2021,PP630814.1
USA/WA-S17387/2022,OM538607.1
USA/WA-PHL-014994/2022,PQ400444.1
USA/WA-UW-22080894535/2022,OP457251.1
USA/WA-S22845/2023,OQ738398.1
USA/WA-PHL-010123/2022,PQ174270.1
USA/WA-CDC-LC0361246/2021,OL489466.1
USA/WA-CDC-QDX34165035/2022,OM949262.1
USA/WA-CDC-QDX28696926/2021,OK325295.1
USA/WA-CDC-QDX28549773/2021,OK262632.1
USA/WA-S5173/2021,MW698995.2
USA/WA-CDC-UW22092620867/2022,OP646687.1
USA/WA-UW-23021794322/2023,OQ568015.1
USA/WA-CDC-UW22092211943/2022,OP630317.1
USA/WA-CDC-UW22070965602/2022,OP102701.1
USA/WA-CDC-UW21060347111/2021,OK189320.1
USA/WA-CDC-UW22101628441/2022,OP776491.1
USA/WA-CDC-UW23011156545/2023,OQ306849.1
USA/WA-CDC-UW21123091033/2021,OM288829.1
USA/WA-CDC-QDX86946105/2023,OR817304.1
USA/WA-UW-22051829925/2022,ON796264.1
USA/WA-PHL-011840/2022,PQ175238.1
USA/WA-S7338/2021,MZ222604.1
USA/WA-UW-22052496844/2022,ON711442.1
USA/WA-CDC-UW22070311121/2022,OP036193.1
USA/WA-UW-59020/2021,MW987752.1
USA/WA-PHL-024184/2022,PQ370900.1
USA/WA-PHL-013879/2022,PQ176204.1
USA/WA-CDC-UW21100148381/2021,OK615884.1
USA/WA-CDC-LC0876498/2022,OP464141.1
USA/WA-UW-21080359758/2021,OK178744.1
USA/WA-CDC-LC0764286/2022,OP015195.1
USA/WA-PHL-026943/2022,OQ779828.1
USA/WA-CDC-UW22051811177/2022,ON688743.1
USA/WA-CDC-UW23020820624/2023,OQ472682.1
USA/WA-CDC-UW21073194673/2021,MZ967537.1
USA/WA-CDC-UW22102619718/2022,OP848287.1
USA/WA-CDC-UW21081656807/2021,OK058223.1
USA/WA-CDC-UW21051388268/2021,MZ319562.1
USA/WA-S16117/2022,OM296923.1
USA/WA-UW-21081789665/2021,OK258488.1
USA/WA-S16888/2022,OM457826.1
USA/WA-UW-21080216637/2021,OK178843.1
USA/WA-UW-21041973636/2021,MZ172117.1
USA/WA-CDC-UW21080252290/2021,MZ882567.1
USA/WA-PHL-019726/2022,OQ982276.1
USA/WA-UW-22100551622/2022,OP715981.1
USA/WA-PHL-005084/2021,PQ171783.1
USA/WA-CDC-UW21122436515/2021,OM188590.1
USA/WA-CDC-UW22021402920/2022,OM956471.1
USA/WA-PHL-021059/2022,PQ389556.1
USA/WA-CDC-QDX26765242/2021,MZ694792.1
USA/WA-UW-21102849524/2021,OL606975.1
USA/WA-CDC-UW21112202426/2021,OL825196.1
USA/WA-S21039/2022,ON981510.1
USA/WA-CDC-UW22052041689/2022,ON691797.1
USA/WA-CDC-LC0833611/2022,OP284263.1
USA/WA-CDC-UW22020301249/2022,OM841735.1
USA/WA-CDC-LC0521560/2022,OM697554.1
USA/WA-PHL-011886/2022,PQ175284.1
USA/WA-CDC-UW21042140428/2021,MZ152991.1
USA/WA-CDC-LC0756728/2022,OP000350.1
USA/WA-UW-21101104889/2021,OL467454.1
USA/WA-UW-21042672109/2021,MZ394273.1
USA/WA-UW-22051481971/2022,ON627140.1
USA/WA-UW-21082377155/2021,OK258299.1
USA/WA-PHL-025695/2022,PP787238.1
USA/WA-UW-68955/2021,MZ236340.1
USA/WA-UW344/2020,MT263424.1
USA/WA-PHL-008545/2021,PQ173467.1
USA/WA-UW-22080848283/2022,OP457337.1
USA/WA-S678/2020,MT641632.1
USA/WA-CDC-UW21042880293/2021,MZ152955.1
USA/WA-UW-21121437538/2021,OM125016.1
USA/WA-S13758/2021,OL516148.1
USA/WA-CDC-UW21120260883/2021,OL825445.1
USA/WA-S14401/2021,OL676534.1
USA/WA-S3446/2020,MW494067.2
USA/WA-PHL-005166/2021,PQ171863.1
USA/WA-CDC-LC0514681/2022,OM623994.1
USA/WA-UW-22061314649/2022,ON891494.1
USA/WA-CDC-2-3859199/2021,MW708397.1
USA/WA-CDC-LC0200177/2021,OK117423.1
USA/WA-CDC-UW21092619815/2021,OK448128.1
USA/WA-CDC-LC0039428/2021,MZ003605.1
USA/WA-CDC-UW21122429745/2021,OM232529.1
USA/WA-PHL-030031/2020,PQ414216.1
USA/WA-CDC-UW22031133434/2022,ON090556.1
USA/WA-CDC-UW21122423370/2021,OM188629.1
USA/WA-S10651/2021,OK083290.1
USA/WA-CDC-UW23011687014/2023,OQ352900.1
USA/WA-S11444/2021,OK147406.1
USA/WA-CDC-LC0989427/2023,OQ294291.1
USA/WA-CDC-UW21111024421/2021,OL639978.1
USA/WA-PHL-006053/2021,PP629943.1
USA/WA-CDC-LC0563218/2022,ON047763.1
USA/WA-PHL-035291/2024,PP845924.1
USA/WA-UW-21051837892/2021,MZ401565.1
USA/WA-CDC-UW22032428469/2022,ON222663.1
USA/WA-CDC-UW22022763573/2022,ON018437.1
USA/WA-UW-65756/2021,MZ151577.1
USA/WA-CDC-UW21072018383/2021,OK111667.1
USA/WA-PHL-002320/2021,PP628115.1
USA/WA-UW-22032955663/2022,ON310847.1
USA/WA-UW-22111665333/2022,OP967684.1
USA/WA-UW-22062104025/2022,ON987041.1
USA/WA-CDC-LC0166311/2021,MZ942593.1
USA/WA-PHL-011271/2022,PQ175050.1
USA/WA-UW-23110537409/2023,OR820932.1
USA/WA-S1495/2020,MT834155.1
USA/WA-S14051/2021,OL584680.1
USA/WA-CDC-UW23033030678/2023,OQ799166.1
USA/WA-UW-23020570350/2023,OQ503695.1
USA/WA-UW-21100564264/2021,OK635837.1
USA/WA-CDC-UW21110301079/2021,OL606874.1
USA/WA-PHL-030676/2022,PP787970.1
USA/WA-CDC-UW21081388360/2021,MZ896047.1
USA/WA-UW-21050454167/2021,MZ328751.1
USA/WA-S12374/2021,OK546424.1
USA/WA-UW-21050519489/2021,MZ328772.1
USA/WA-PHL-030156/2022,PP787696.1
USA/WA-CDC-UW21082028966/2021,OK058103.1
USA/WA-CDC-UW21082668541/2021,OK110917.1
USA/WA-CDC-UW21051064009/2021,MZ293565.1
USA/WA-CDC-LC0315094/2021,OK516146.1
USA/WA-UW-22120186824/2022,OP999319.1
USA/WA-UW-23090975834/2023,OR623011.1
USA/WA-CDC-UW21082665049/2021,OK110994.1
USA/WA-CDC-FG-159124/2021,OL374313.1
USA/WA-S8162/2021,MZ388044.1
USA/WA-CDC-UW21071630550/2021,MZ729271.1
USA/WA-PHL-024790/2022,PQ371247.1
USA/WA-UW-21041638629/2021,MZ232897.1
USA/WA-CDC-UW22122275404/2022,OQ338942.1
USA/WA-S5069/2021,MW698784.2
USA/WA-UW-22041733054/2022,ON412609.1
USA/WA-UW-23042935520/2023,OR213146.1
USA/WA-S13749/2021,OL516139.1
USA/WA-UW-21042738998/2021,MZ434115.1
USA/WA-UW-21041944693/2021,MZ232593.1
USA/WA-CDC-UW23033037997/2023,OQ799183.1
USA/WA-CDC-LC0104570/2021,MZ784410.1
USA/WA-S3195/2020,MW474354.1
USA/WA-CDC-UW22010282622/2022,OM341903.1
USA/WA-UW-21041463265/2021,MZ232767.1
USA/WA-CDC-LC0166327/2021,MZ942600.1
USA/WA-S5769/2021,MW931530.1
USA/WA-S8978/2021,MZ469411.1
USA/WA-CDC-UW22021641383/2022,OM901083.1
USA/WA-S18991/2022,ON052931.1
USA/WA-PHL-007578/2021,PQ173044.1
USA/WA-CDC-LC0765320/2022,OP015858.1
USA/WA-UW-60056/2021,MW879567.1
USA/WA-CDC-LC0444044/2021,OM176263.1
USA/WA-PHL-002745/2021,PQ170368.1
USA/WA-PHL-030176/2022,PP787714.1
USA/WA-CDC-VSX-A250770/2024,PP267768.1
USA/WA-CDC-UW22020322853/2022,OM753281.1
USA/WA-PHL-011643/2022,PQ175108.1
USA/WA-CDC-UW21050353992/2021,MZ217553.1
USA/WA-S16104/2022,OM296910.1
USA/WA-UW-68059/2021,MZ232192.1
USA/WA-UW-22040510553/2022,ON381077.1
USA/WA-S1650/2020,MT834315.1
USA/WA-CDC-LC0499835/2022,OM498089.1
USA/WA-UW-22072809108/2022,OP348402.1
USA/WA-PHL-019741/2022,OQ982286.1
USA/WA-PHL-018356/2022,OQ921263.1
USA/WA-CDC-UW21050398304/2021,MZ217678.1
USA/WA-S9575/2021,MZ616403.1
USA/WA-CDC-QDX30320466/2021,OL355654.1
USA/WA-CDC-UW21080284981/2021,MZ882658.1
USA/WA-CDC-FG-038507/2021,MZ492623.1
USA/WA-UW-22100671690/2022,OP727318.1
USA/WA-UW-22061570545/2022,ON891439.1
USA/WA-UW-22080487219/2022,OP348299.1
USA/WA-CDC-UW22091937641/2022,OP656381.1
USA/WA-CDC-UW22040217052/2022,ON305077.1
USA/WA-S722/2020,MT641577.1
USA/WA-S5554/2021,MW873365.1
USA/WA-UW-21051539450/2021,MZ394488.1
USA/WA-CDC-UW22052304609/2022,ON688951.1
USA/WA-CDC-UW22072129831/2022,OP199131.1
USA/WA-UW-22010945169/2022,OM646613.1
USA/WA-CDC-UW22031869530/2022,ON090934.1
USA/WA-PHL-026708/2022,PQ371693.1
USA/WA-UW-68103/2021,MZ232185.1
USA/WA-CDC-FG-159136/2021,OL374276.1
USA/WA-UW-21090862741/2021,OK334150.1
USA/WA-UW-22100656938/2022,OP727324.1
USA/WA-PHL-001606/2021,PP627761.1
USA/WA-S7330/2021,MZ222597.1
USA/WA-UW-22041462727/2022,ON412250.1
USA/WA-CDC-UW21121168849/2021,OL914381.1
USA/WA-S22528/2022,OQ232423.1
USA/WA-PHL-014483/2022,PQ176760.1
USA/WA-PHL-020725/2022,OQ990548.1
USA/WA-CDC-UW21120328935/2021,OL825532.1
USA/WA-CDC-UW22020420463/2022,OM753329.1
USA/WA-UW-21080393547/2021,OK178788.1
USA/WA-CDC-LC0916812/2022,OP736654.1
USA/WA-UW-64869/2021,MZ151829.1
USA/WA-UW-22081415600/2022,OP412730.1
USA/WA-CDC-UW21070248052/2021,MZ581298.1
USA/WA-CDC-UW21072006464/2021,OK111862.1
USA/WA-PHL-023926/2022,PQ370673.1
USA/WA-CDC-STM-000009038/2021,OK439162.1
USA/WA-S19840/2022,ON521377.1
USA/WA-S2089/2020,MT831325.1
USA/WA-PHL-014299/2022,PQ176596.1
USA/WA-PHL-005383/2021,PP629649.1
USA/WA-UW-2021041019191/2021,MZ231826.1
USA/WA-PHL-026780/2022,PQ371743.1
USA/WA-S16497/2022,OM364070.1
USA/WA-S12717/2021,OK647685.1
USA/WA-PHL-031251/2022,PP788304.1
USA/WA-UW-2245/2020,MT345855.1
USA/WA-CDC-ASC210384027/2021,OL578511.1
USA/WA-UW-22080433640/2022,OP363415.1
USA/WA-UW-21081798480/2021,OK258277.1
USA/WA-UW-22072564190/2022,OP242528.1
USA/WA-UW-21041938945/2021,MZ172144.1
USA/WA-S8082/2021,MZ388368.1
USA/WA-UW-23021580697/2023,OQ568123.1
USA/WA-PHL-020669/2022,OQ990521.1
USA/WA-CDC-UW22081671977/2022,OP376227.1
USA/WA-UW-22062185705/2022,ON987088.1
USA/WA-UW-22040729139/2022,ON412678.1
USA/WA-CDC-LC0551534/2022,OM940722.1
USA/WA-CDC-LC0222960/2021,OK155034.1
USA/WA-CDC-LC0446826/2021,OM175931.1
USA/WA-CDC-UW21121287934/2021,OL914485.1
USA/WA-S19797/2022,ON521334.1
USA/WA-CDC-LC0329516/2021,OK610888.1
USA/WA-PHL-032153/2022,OQ836067.1
